
やりたいこと
使用できるタグを固定できるようにする,""
カテゴリの階層化,""
アイテムストックとブックマークレット,""
アイテムをストックへ保存するブックマークレット,""
まとめ項目（使うかどうか）のカスタマイズ,カテゴリごと？
リンク項目で画像がないときにサムネイル非表示,""
記事ページのcanonicalにpage追加,""
タグをもっとたくさん入れたい,""
保存記事、テキストを空にして、項目削除して保存するとエラー,""
記事の画像をもっと大きく表示させたい,CSSでカスタマイズしずらいようであれば、しやすいように調整する。
画像アイテムに長いURLを入れて下書き保存すると内部エラー,"https://www.starnail-sc.com/blog/archives/upfiles/%e3%83%9f%e3%83%b3%e3%83%88%e3%82%b0%e3%83%aa%e3%83%bc%e3%83%b3%e3%81%a8%e3%83%94%e3%83%b3%e3%82%af%e3%83%99%e3%83%bc%e3%82%b8%e3%83%a5%e3%81%ae%e3%82%b3%e3%83%b3%e3%83%93%e3%82%ab%e3%83%a9%e3%83%bc%e9%80%86%e3%83%95%e3%83%ac%e3%83%b3%e3%83%81%e3%82%b8%e3%82%a7%e3%83%ab%e3%83%8d%e3%82%a4%e3%83%ab.%e5%b7%9d%e5%86%85.jpg
"
タグに空白が入っていると検索できない,""
まとめ項目「地図」を作る,""
ユーザー、サイト、記事を論理削除にする,""
Fix migration schema,"Author: gamix

https://github.com/bitarts/clipkit/pull/1

Description: rake db:schema:loadが失敗するので修正しました。ご確認ください。"
タグページの強化,"・タグのページが重要
http://itnail.jp/itnail/search?q=tag%3A%E5%86%AC%E3%83%8D%E3%82%A4%E3%83%AB

タグごとに説明文章を登録できるようにしたい。
タグどうしの関連をもたせられたらなおよし"
問い合わせをDB保存するようにする,""
キュレータ認証フローを機能化,""
キュレータプロフィールページの強化,プロフィール写真の下にお店の情報を入れられるようになど。
不適切な記事を通報機能,""
ライセンス不正利用防止,""
Facebook、Twitterへ自動投稿,""
記事一覧の並び順検討,公認キュレーター優先とか
公認キュレータ一覧（フロント）,最近人気の記事を書いている順
サイト管理者からキュレーターごと、記事ごとの月別アクセス数を確認できるように。,""

やること
Twitter、Facebookへ自動シェア,""
おすすめ記事（編集部ピックアップ）,数種類ありそうなので「記事種別(int)」とかにする。
アクセスランキング、デイリー、ウィークリー、マンスリー,""
多言語対応,""
全タグ一覧ページ,""
カテゴリに特定ユーザーだけが投稿可能な設定にできるようにする,""
Itnailスマホサイトリニューアル,""
Rails 4.2アップデート,""

作業中
承認プロセス機能,"最近キュレーターの申請がちょこちょこ来ていて
普通に承認しちゃうと下書きもしないで
配信してしまいそうなので、その場合他社の媒体にちゃんとできてない、コンテンツなのに配信されてしまう可能性があるので"
複数のサイト管理者を設定,記事承認とかやるなら必要だろう
CSS、画像などのリソース管理,""
REST APIの記事追加関連を実装,""
キュレータ向けヘルプ画面,静的ページに閲覧権限を設定できるようにして、ヘッダテンプレートのドロップダウンメニューに「ヘルプ」を追加する。
キュレータ管理をサイト設定から出す,""
サイト管理「統計」が他のサイトの記事も集計対象にしているみたい,""

クローズ
本リポジトリの開発フロー,"Author: xendoc

https://github.com/bitarts/clipkit/pull/4

Description: * CircleCIの設定を行い、READMEにおけるバッヂの参照元を変更
* フォーク元とのコンフリクト、不要ブランチの乱立、不意なソースの取り込み、を避けるための開発フローを追記"
サイト管理機能の階層変更,""
テンプレートで「user」（curet_user）を使えるように,""
静的ページ内でLiquidタグを使えるようにする,""
特定キューレーターの記事をRSS配信から除外,""
「まとめ」→「記事」文言変更,""
他社メディアからの記事再配信,カテゴリにRSSフィードの内容を出す（ただし記事はRSS出力しない）
Feature/user bio,"Author: gamix

https://github.com/bitarts/clipkit/pull/3

Description: テンプレートにユーザーの自己紹介文言を表示できるように対応"
Feature/aws sdk ver1.60.2,"Author: gamix

https://github.com/bitarts/clipkit/pull/2

Description: clipkit1.8.2をmergeしたあとにs3を使う設定になってた場合に下記エラーがでて写真がアップできなくなりました。
uninitialized constant Paperclip::Storage::S3::AWS

aws-sdkが2系になったことが問題だったようなのでとりあえず1.60.2に戻して動作確認したところアップロード出来るようになりました。
https://github.com/thoughtbot/paperclip/issues/1764
"
アカウント設定のパンくずが正しく出ない(1.8.0),""
タグ管理の記事一覧にページネーションがない,""
スマホサイトでPC版のロゴ画像が使われてしまう(1.8.0),""
Itnailの新デザイン,""
キュレータ自己紹介欄追加,""
スマホからだとお気に入り記事一覧へ遷移できない？,""
ヘッダのカスタマイズ,""
DMM用RSSの修正,"From: DMM.comラボ 赤澤正純 <akazawa-masazumi@dmm.com>
日付: 2015年1月29日木曜日
件名: 頂戴いたしましたRSSの取り込みを担当致します赤澤と申します。
To: 早剛史 <h@nailmax.co.jp>
Cc: 山内 大輔 <yamauchi.daisuke@dmm.com>, dmm-news <dmm-news@dmm.com>


ネイルMAX 執行役員
早様

大変お世話になります。
DMM.comラボの赤澤と申します。

この度、頂戴いたしました下記RSS取り込み実装を担当させて頂きます。
何卒よろしくお願い申し上げます。
・http://itnail.jp/itnail/category/%E3%82%B3%E3%83%A9%E3%83%A0.rss?type=dmm

ただ今、取り込みテストを実施しておりまして、1箇所以外順調に取り込みが
出来ることを確認いたしております。お忙しい中、誠に恐縮でございますが、
RSS書き出しの際の、
<rss version=""2.0"">
という箇所を
<rss version=""2.0"" xmlns:dmm=""http://news.dmm.com/rss/ns/1.0"">
とご修正いただけますでしょうか。

また、掲載時にご使用になられますロゴ画像を、
・100px X 100px(縦は最大値)、
・画像形式はpng/gif/jpeg
にて頂戴できますと大変助かるのですが、可能でございましょうか？


以上、お忙しい中誠にお手数と存じますが、
何卒宜しくお願い申し上げます。

--
****************************************************
株式会社 DMM.com ラボ

システム本部 プラットフォーム開発部
赤澤正純
akazawa-masazumi@dmm.com

〒150-6021
東京都渋谷区恵比寿4-20-3
恵比寿ガーデンプレイス21階
Tel: 03-5789-7037　Fax: 03-5789-7066
****************************************************"
問い合わせフォームにCAPTCHA,""
管理画面からのユーザー登録で単価０にできない,""
記事説明文の文字数増加,90→200にしたけど、500欲しいという要望。
まとめ項目「商品」を作る,""
管理画面でのユーザー検索,""
テキスト項目中に含まれるURLに自動リンクを張るようにする,""
一度公開した記事の公開日は変更できないようにする,変更できてしまうと、報酬支払い済みの記事を再度報酬対象にできてしまうので。
APIのドメインを変更できるようにする,""
DMM用RSSフィード追加,""
GMO Yomerumo用RSSフィード追加,""
